time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-10-27T12:27:41.590Z,37.1523333,-97.6251667,4.62,2.62,ml,20,68,0.01707,0.07,ismpkansas,ismpkansas70147833,2015-10-28T17:24:33.553Z,"13km N of Caldwell, Kansas",earthquake
2015-10-27T12:15:21.380Z,-16.3238,67.0638,10.01,5.2,mb,,45,11.759,0.89,us,us10003ru4,2015-10-29T09:47:41.040Z,"Mid-Indian Ridge",earthquake
2015-10-27T11:18:19.200Z,18.9892,-67.1908,7,3.2,Md,6,302.4,0.52461613,0.57,pr,pr15300003,2015-10-27T19:21:30.921Z,"55km N of San Antonio, Puerto Rico",earthquake
2015-10-27T11:06:49.860Z,33.2728333,-116.7911667,8.53,2.97,ml,111,19,0.0457,0.22,ci,ci37264495,2015-10-28T07:40:59.521Z,"4km NW of Lake Henshaw, California",earthquake
2015-10-27T11:04:58.410Z,-16.6408,66.5409,10,4.7,mb,,133,19.463,0.83,us,us10003rtl,2015-10-28T01:56:44.000Z,"Mid-Indian Ridge",earthquake
2015-10-27T10:48:59.740Z,36.2178,-97.5681,8.64,2.9,mb_lg,,32,0.43,0.56,us,us10003rt7,2015-10-27T13:17:19.484Z,"26km WSW of Perry, Oklahoma",earthquake
2015-10-27T10:00:50.830Z,39.6428,-116.8114,7.5,2.5,ml,11,96.28,0.849,0.1949,nn,nn00516462,2015-10-27T18:04:54.352Z,"27km NE of Austin, Nevada",earthquake
2015-10-27T09:36:43.730Z,37.8023338,-121.9703369,9.44,2.86,md,65,58,0.05911,0.08,nc,nc72544645,2015-10-29T17:13:40.834Z,"2km NNE of San Ramon, California",earthquake
2015-10-27T09:13:35.540Z,36.8129,-97.7926,5,3.3,mb_lg,,55,0.302,0.57,us,us10003rs7,2015-10-27T09:34:13.973Z,"5km W of Medford, Oklahoma",earthquake
2015-10-27T09:06:55.440Z,37.8003349,-121.9673309,9.02,2.91,md,61,58,0.06175,0.09,nc,nc72544620,2015-10-29T17:14:46.557Z,"2km NNE of San Ramon, California",earthquake
2015-10-27T08:46:11.100Z,37.8001667,-121.9685,9.2,2.98,ml,153,59,0.01106,0.14,nc,nc72544610,2015-10-29T17:15:49.417Z,"2km NNE of San Ramon, California",earthquake
2015-10-27T08:27:42.180Z,19.2248325,-155.4440002,37.01,2.63,ml,57,116,0.04571,0.19,hv,hv61080391,2015-10-27T16:30:11.455Z,"4km ENE of Pahala, Hawaii",earthquake
2015-10-27T07:53:01.920Z,37.121,-97.6218333,4.09,2.52,ml,21,76,0.01536,0.05,ismpkansas,ismpkansas70147768,2015-10-28T18:12:59.113Z,"9km N of Caldwell, Kansas",earthquake
2015-10-27T07:19:31.400Z,19.3565,-64.6723,17,3.3,Md,3,338.4,1.03306258,0.23,pr,pr15300002,2015-10-27T15:22:30.139Z,"104km N of Road Town, British Virgin Islands",earthquake
2015-10-27T05:19:57.290Z,37.783165,-121.9674988,7.7,2.7,md,59,53,0.07813,0.08,nc,nc72544565,2015-10-28T23:44:58.001Z,"0km ENE of San Ramon, California",earthquake
2015-10-27T03:06:49.720Z,37.1245,-97.6214,2.76,3.6,mb_lg,,76,0.011,0.07,us,us10003rqb,2015-10-28T17:51:07.760Z,"10km N of Caldwell, Kansas",earthquake
2015-10-27T02:32:42.400Z,6.1535,125.3163,64.92,4.6,mb,,123,0.946,0.67,us,us10003rq4,2015-10-27T08:12:04.832Z,"6km NNE of Alabel, Philippines",earthquake
2015-10-27T02:21:47.500Z,37.1206,-97.6078,7.3,3.1,mb_lg,,81,0.017,0.11,us,us10003rq2,2015-10-28T17:02:16.870Z,"9km N of Caldwell, Kansas",earthquake
2015-10-27T02:09:53.700Z,18.9323,-65.224,41,2.5,Md,4,313.2,0.62343081,0.1,pr,pr15300001,2015-10-27T10:12:28.834Z,"70km N of Culebra, Puerto Rico",earthquake
2015-10-27T02:07:20.800Z,19.1751,-64.278,37,3.1,Md,4,342,1.03845247,0.25,pr,pr15300000,2015-10-27T10:09:57.633Z,"91km NNE of Road Town, British Virgin Islands",earthquake
2015-10-27T01:40:16.020Z,19.3028333,-155.2135,8.34,2.73,ml,53,106,0.02393,0.1,hv,hv61079761,2015-10-27T17:38:43.445Z,"14km S of Volcano, Hawaii",earthquake
2015-10-26T23:55:13.000Z,59.6839,-152.7818,58.3,2.8,ml,,,,0.75,ak,ak11755517,2015-10-27T07:57:48.627Z,"54km W of Anchor Point, Alaska",earthquake
2015-10-26T23:35:20.920Z,36.5264,70.3068,207.28,4.1,mb,,83,0.635,0.59,us,us10003rnp,2015-10-27T22:17:31.332Z,"40km E of Farkhar, Afghanistan",earthquake
2015-10-26T22:14:56.310Z,-44.53,168.87,3,4.3,mb,,,,0.8,us,us10003rme,2015-10-27T06:17:30.679Z,"29km NW of Wanaka, New Zealand",earthquake
2015-10-26T22:11:50.900Z,18.9015,-67.2034,8,2.7,Md,8,291.6,0.44017449,0.21,pr,pr15299004,2015-10-27T06:14:28.695Z,"46km NNW of San Antonio, Puerto Rico",earthquake
2015-10-26T21:43:54.400Z,18.2448,-67.3119,86,2.9,Md,14,169.2,0.21110409,0.28,pr,pr15299003,2015-10-27T05:47:15.868Z,"10km SW of Stella, Puerto Rico",earthquake
2015-10-26T20:52:47.000Z,63.1739,-150.3857,100,3.2,ml,,,,0.6,ak,ak11755050,2015-10-27T04:56:31.911Z,"75km WSW of Cantwell, Alaska",earthquake
2015-10-26T18:33:58.510Z,37.7858315,-121.9631653,7.86,2.66,md,45,54,0.07653,0.08,nc,nc72544410,2015-10-28T00:17:25.878Z,"1km ENE of San Ramon, California",earthquake
2015-10-26T16:47:21.970Z,36.526,70.3288,199.68,4.5,mb,,93,0.63,0.53,us,us10003rjg,2015-10-27T00:50:04.030Z,"42km E of Farkhar, Afghanistan",earthquake
2015-10-26T15:47:27.920Z,36.53,70.3048,207.86,4.1,mb,,75,0.633,0.41,us,us10003rj2,2015-10-26T23:50:05.699Z,"40km E of Farkhar, Afghanistan",earthquake
2015-10-26T15:39:10.540Z,36.5365,70.4045,208.07,4.1,mb,,90,0.603,0.63,us,us10003rj0,2015-10-26T18:48:24.776Z,"49km E of Farkhar, Afghanistan",earthquake
2015-10-26T14:59:34.720Z,-35.5937,-70.6714,127.11,4.5,mb,,57,0.63,0.43,us,us10003rir,2015-10-26T23:02:02.360Z,"73km E of San Clemente, Chile",earthquake
2015-10-26T14:38:58.620Z,-17.9861,-69.512,119.33,5,mb,,80,0.876,0.59,us,us10003rik,2015-10-26T22:44:15.485Z,"24km NNE of Putre, Chile",earthquake
2015-10-26T14:26:21.180Z,-30.0637,-72.9556,10,4.6,mb,,128,1.293,1,us,us10003rii,2015-10-26T22:29:04.975Z,"156km W of Coquimbo, Chile",earthquake
2015-10-26T13:28:03.200Z,19.4021667,-155.4106667,10.514,2.83,ml,58,32,0.05318,0.09,hv,hv61079196,2015-10-26T21:30:34.226Z,"18km W of Volcano, Hawaii",earthquake
2015-10-26T13:11:59.480Z,-17.9237,-178.4841,569.79,5.1,mb,,58,3.303,0.98,us,us10003ri2,2015-10-26T21:14:26.167Z,"281km SE of Lambasa, Fiji",earthquake
2015-10-26T12:58:36.800Z,17.6893,-68.8147,77,3.6,Md,13,334.8,1.44628761,0.37,pr,pr15299002,2015-10-26T21:01:51.372Z,"79km SSW of Boca de Yuma, Dominican Republic",earthquake
2015-10-26T12:34:15.690Z,35.4461,135.8482,344.32,4.7,mb,,26,0.4,1.04,us,us10003rhn,2015-10-26T20:36:55.942Z,"10km ESE of Obama, Japan",earthquake
2015-10-26T11:39:24.000Z,62.09,-152.1618,72.7,2.8,ml,,,,0.63,ak,ak11752486,2015-10-26T19:41:57.482Z,"109km WSW of Talkeetna, Alaska",earthquake
2015-10-26T11:16:16.760Z,36.5322,70.3657,198.98,4.7,mb,,92,0.615,0.83,us,us10003rh7,2015-10-26T12:08:29.004Z,"45km E of Farkhar, Afghanistan",earthquake
2015-10-26T11:14:42.820Z,36.5396,70.3541,216.34,4.4,mb,,93,0.611,0.62,us,us10003rh4,2015-10-26T19:17:27.200Z,"44km E of Farkhar, Afghanistan",earthquake
2015-10-26T10:43:27.540Z,19.6421667,-155.0905,24.819,2.57,ml,48,91,0.06152,0.15,hv,hv61079061,2015-10-26T20:03:34.006Z,"5km WNW of Kea'au, Hawaii",earthquake
2015-10-26T10:09:07.330Z,-1.4305,97.1284,29.32,5.1,mb,,76,2.752,1.41,us,us10003rg1,2015-10-26T18:11:51.976Z,"210km W of Sikabaluan, Indonesia",earthquake
